v_index,color_index,L,a,b,C,H,r_rgb,g_rgb,b_rgb,r255,g255,b255,color_hex
V1,0,50,28.891,-73.589,79.05713631,291.4349439,0.18536,0.43139,0.96497,47.2668,110.00445,246.06735,#2f6ef6
V2,1,25,53.857,-72.28,90.13864237,306.6903925,0.20878,0.093277,0.67755,53.2389,23.785635,172.77525,#3518ad
V3,2,50,53.857,-72.28,90.13864237,306.6903925,0.52107,0.34328,0.95741,132.87285,87.5364,244.13955,#8558f4
V4,3,50,78.822,-70.972,106.0656988,317.9998585,0.71554,0.18209,0.95015,182.4627,46.43295,242.28825,#b62ef2
V5,4,50,2.6168,-49.931,49.99952403,273.0000311,0.02815,0.47995,0.80007,7.17825,122.38725,204.01785,#077acc
V6,5,25,27.583,-48.623,55.9018606,299.565504,0.17927,0.18835,0.5261,45.71385,48.02925,134.1555,#2e3086
V7,6,50,27.583,-48.623,55.9018606,299.565504,0.45531,0.41794,0.79284,116.10405,106.5747,202.1742,#746bca
V8,7,25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725,#600b84
V9,8,50,52.548,-47.315,70.71068893,317.9996578,0.64719,0.32647,0.78598,165.03345,83.24985,200.4249,#a553c8
V10,9,50,77.514,-46.006,90.13862786,329.3100813,0.80294,0.14735,0.7795,204.7497,37.57425,198.7725,#cd26c7
V11,10,75,-23.657,-26.274,35.3550099,228.00026,0.30294,0.78057,0.90983,77.2497,199.04535,232.00665,#4dc7e8
V12,11,25,1.3084,-24.966,25.00026133,272.9999711,0.11078,0.23798,0.38006,28.2489,60.6849,96.9153,#1c3d61
V13,12,50,1.3084,-24.966,25.00026133,272.9999711,0.36676,0.47151,0.63164,93.5238,120.23505,161.0682,#5e78a1
V14,13,75,1.3084,-24.966,25.00026133,272.9999711,0.62755,0.72906,0.90271,160.02525,185.9103,230.19105,#a0bae6
V15,14,25,26.274,-23.657,35.3550099,318.00026,0.31571,0.17533,0.37401,80.50605,44.70915,95.37255,#512d5f
V16,15,50,26.274,-23.657,35.3550099,318.00026,0.56583,0.4087,0.62522,144.28665,104.2185,159.4311,#90689f
V17,16,75,26.274,-23.657,35.3550099,318.00026,0.83493,0.66423,0.89597,212.90715,169.37865,228.47235,#d5a9e4
V18,17,25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,#72005e
V19,18,50,51.24,-22.349,55.90183719,336.4349439,0.72068,0.31508,0.61928,183.7734,80.3454,157.9164,#b8509e
V20,19,50,76.206,-21.041,79.05743556,344.5648054,0.85795,0.12084,0.61389,218.77725,30.8142,156.54195,#db1f9d
V21,20,88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,#39f6e0
V22,21,50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,#3b8378
V23,22,75,-24.966,-1.3084,25.00026133,182.9999711,0.49553,0.7754,0.73022,126.36015,197.727,186.2061,#7ec6ba
V24,23,88,-24.966,-1.3084,25.00026133,182.9999711,0.63541,0.91934,0.87189,162.02955,234.4317,222.33195,#a2eade
V25,24,0,0,0,0,0,0,0,0,0,0,0,#000000
V26,25,25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,#3b3b3b
V27,26,50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,#777777
V28,27,75,0,0,0,0,0.7239,0.7239,0.7239,184.5945,184.5945,184.5945,#b9b9b9
V29,28,100,0,0,0,0,1,1,1,255,255,255,#ffffff
V30,29,88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,#dddddd
V31,30,25,24.966,1.3084,25.00026133,2.999971123,0.36814,0.16901,0.22803,93.8757,43.09755,58.14765,#5e2b3a
V32,31,50,24.966,1.3084,25.00026133,2.999971123,0.62657,0.4033,0.46106,159.77535,102.8415,117.5703,#a06776
V33,32,75,24.966,1.3084,25.00026133,2.999971123,0.90215,0.65899,0.71809,230.04825,168.04245,183.11295,#e6a8b7
V34,33,50,49.931,2.6168,49.99952403,3.000031095,0.76433,0.30881,0.45651,194.90415,78.74655,116.41005,#c34f74
V35,34,50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,#e31b73
V36,35,75,-51.24,22.349,55.90183719,156.4349439,0.29264,0.81366,0.55522,74.6232,207.4833,141.5811,#4bcf8e
V37,36,88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465,#73f5b0
V38,37,25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,#184415
V39,38,50,-26.274,23.657,35.3550099,138.00026,0.33427,0.50935,0.30369,85.23885,129.88425,77.44095,#55824d
V40,39,75,-26.274,23.657,35.3550099,138.00026,0.58834,0.77224,0.54935,150.0267,196.9212,140.08425,#96c58c
V41,40,88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,#baeaaf
V42,41,25,-1.3084,24.966,25.00026133,92.99997112,0.26859,0.23099,0.078708,68.49045,58.90245,20.07054,#443b14
V43,42,50,-1.3084,24.966,25.00026133,92.99997112,0.51566,0.46391,0.29927,131.4933,118.29705,76.31385,#83764c
V44,43,75,-1.3084,24.966,25.00026133,92.99997112,0.78226,0.72092,0.54415,199.4763,183.8346,138.75825,#c7b88b
V45,44,88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,#eddcad
V46,45,25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,#632b14
V47,46,50,23.657,26.274,35.3550099,48.00025997,0.65938,0.40118,0.29597,168.1419,102.3009,75.47235,#a8664b
V48,47,75,23.657,26.274,35.3550099,48.00025997,0.94491,0.65619,0.53969,240.95205,167.32845,137.62095,#f1a78a
V49,48,50,48.623,27.583,55.9018606,29.56550403,0.78826,0.307,0.2939,201.0063,78.285,74.9445,#c94e4b
V50,49,50,73.589,28.891,79.05713631,21.43494393,0.90961,0.10388,0.29318,231.95055,26.4894,74.7609,#e81a4b
V51,50,50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695,#0e8a19
V52,51,75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672,#67cf5c
V53,52,88,-52.548,47.315,70.71068893,137.9996578,0.54989,0.95852,0.49572,140.22195,244.4226,126.4086,#8cf47e
V54,53,50,-27.583,48.623,55.9018606,119.565504,0.37476,0.50866,0.096059,95.5638,129.7083,24.495045,#608218
V55,54,75,-27.583,48.623,55.9018606,119.565504,0.63947,0.77079,0.35693,163.06485,196.55145,91.01715,#a3c55b
V56,55,88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591,#c8e97d
V57,56,50,-2.6168,49.931,49.99952403,93.0000311,0.53807,0.4637,0.095726,137.20785,118.2435,24.41013,#897618
V58,57,75,-2.6168,49.931,49.99952403,93.0000311,0.81654,0.7198,0.35358,208.2177,183.549,90.1629,#d0b85a
V59,58,88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,#f7db7c
V60,59,50,22.349,51.24,55.90183719,66.43494393,0.67414,0.40164,0.098965,171.9057,102.4182,25.236075,#ac6619
V61,60,75,22.349,51.24,55.90183719,66.43494393,0.97029,0.65547,0.35149,247.42395,167.14485,89.62995,#f7a75a
V62,61,50,47.315,52.548,70.71068893,47.99965781,0.79852,0.30871,0.10571,203.6226,78.72105,26.95605,#cc4f1b
V63,62,50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545,#ea1d1d
V64,63,88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,#3efe44
V65,64,75,-53.857,72.28,90.13864237,126.6903925,0.45104,0.81154,0.061681,115.0152,206.9427,15.728655,#73cf10
V66,65,88,-53.857,72.28,90.13864237,126.6903925,0.60202,0.9578,0.2609,153.5151,244.239,66.5295,#9af443
V67,66,75,-28.891,73.589,79.05713631,111.4349439,0.66567,0.77075,0.06092,169.74585,196.54125,15.5346,#aac510
V68,67,88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,#d0e942
V69,68,75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,#d5b811
V70,69,88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,#fcdb42
V71,70,75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,#fba714
